nom_ent,credvivn
Aguascalientes,5087
Baja California,6379
Baja California Sur,1308
Campeche,137
Coahuila,9678
Colima,1867
Chiapas,997
Chihuahua,5069
Ciudad de México,3392
Durango,2531
Guanajuato,11664
Guerrero,636
Hidalgo,6152
Jalisco,19054
México,12298
Michoacán,3539
Morelos,958
Nayarit,1217
Nuevo León,36913
Oaxaca,281
Puebla,5842
Querétaro,6808
Quintana Roo,9833
San Luis Potosí,3876
Sinaloa,5241
Sonora,4789
Tabasco,1168
Tamaulipas,8858
Tlaxcala,830
Veracruz,4257
Yucatán,4773
Zacatecas,2096
